timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699722934094,76,Shops-0,308,Permanent Redirect,Thread Group 1-11,text,true,,344,120,30,30,http://evaly.com.bd/shops/,76,0,0
1699722934171,5400,Shops-1,200,OK,Thread Group 1-11,text,true,,199703,119,30,30,https://evaly.com.bd/shops,255,0,0
1699722933008,7060,Shops,200,OK,Thread Group 1-17,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722933008,73,Shops-0,308,Permanent Redirect,Thread Group 1-17,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722933081,6987,Shops-1,200,OK,Thread Group 1-17,text,true,,199703,119,30,30,https://evaly.com.bd/shops,169,0,0
1699722934317,5888,Shops,200,OK,Thread Group 1-22,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722934317,73,Shops-0,308,Permanent Redirect,Thread Group 1-22,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722934390,5815,Shops-1,200,OK,Thread Group 1-22,text,true,,199703,119,30,30,https://evaly.com.bd/shops,1340,0,0
1699722935950,4477,Shops,200,OK,Thread Group 1-30,text,true,,200056,239,30,30,https://evaly.com.bd/shops,80,0,0
1699722935950,80,Shops-0,308,Permanent Redirect,Thread Group 1-30,text,true,,344,120,30,30,http://evaly.com.bd/shops/,80,0,0
1699722936030,4397,Shops-1,200,OK,Thread Group 1-30,text,true,,199712,119,30,30,https://evaly.com.bd/shops,599,0,0
1699722935592,5060,Shops,200,OK,Thread Group 1-24,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
1699722935592,73,Shops-0,308,Permanent Redirect,Thread Group 1-24,text,true,,344,120,30,30,http://evaly.com.bd/shops/,73,0,0
1699722935666,4986,Shops-1,200,OK,Thread Group 1-24,text,true,,199703,119,30,30,https://evaly.com.bd/shops,674,0,0
1699722934356,6460,Shops,200,OK,Thread Group 1-27,text,true,,200047,239,30,30,https://evaly.com.bd/shops,72,0,0
1699722934356,73,Shops-0,308,Permanent Redirect,Thread Group 1-27,text,true,,344,120,30,30,http://evaly.com.bd/shops/,72,0,0
1699722934429,6387,Shops-1,200,OK,Thread Group 1-27,text,true,,199703,119,30,30,https://evaly.com.bd/shops,1384,0,0
1699722934487,6548,Shops,200,OK,Thread Group 1-21,text,true,,200047,239,30,30,https://evaly.com.bd/shops,73,0,0
